date,nb_utxo
04/03/2011,108090
05/03/2011,107813
06/03/2011,108680
07/03/2011,109383
08/03/2011,110298
09/03/2011,110905
10/03/2011,111649
11/03/2011,112201
12/03/2011,112944
13/03/2011,113562
14/03/2011,113362
15/03/2011,113836
16/03/2011,114166
17/03/2011,114995
18/03/2011,115495
19/03/2011,116198
20/03/2011,116964
21/03/2011,118339
22/03/2011,119343
23/03/2011,121118
24/03/2011,122242
25/03/2011,123530
26/03/2011,124969
27/03/2011,126086
28/03/2011,127289
29/03/2011,129124
30/03/2011,130150
31/03/2011,131267
01/04/2011,132044
02/04/2011,133102
03/04/2011,134460
04/04/2011,135748
05/04/2011,137078
06/04/2011,138098
07/04/2011,139177
08/04/2011,140157
09/04/2011,141273
10/04/2011,142084
11/04/2011,142622
12/04/2011,142929
13/04/2011,143622
14/04/2011,145227
15/04/2011,144871
16/04/2011,144253
17/04/2011,145268
18/04/2011,146506
19/04/2011,148081
20/04/2011,147700
21/04/2011,148790
22/04/2011,149744
23/04/2011,150366
24/04/2011,150754
25/04/2011,151119
26/04/2011,152775
27/04/2011,153106
28/04/2011,153699
29/04/2011,155300
30/04/2011,155886
01/05/2011,156313
02/05/2011,157742
03/05/2011,159230
04/05/2011,160132
05/05/2011,161229
06/05/2011,162767
07/05/2011,165242
08/05/2011,166476
09/05/2011,168121
10/05/2011,168844
11/05/2011,169545
12/05/2011,170704
13/05/2011,170852
14/05/2011,172905
15/05/2011,174706
16/05/2011,179104
17/05/2011,182726
18/05/2011,186191
19/05/2011,190449
20/05/2011,193232
21/05/2011,195858
22/05/2011,199828
23/05/2011,203332
24/05/2011,207919
25/05/2011,212879
26/05/2011,215593
27/05/2011,218227
28/05/2011,221885
29/05/2011,225837
30/05/2011,230489
31/05/2011,233197
01/06/2011,236893
02/06/2011,238651
03/06/2011,239167
04/06/2011,242762
05/06/2011,248077
06/06/2011,251580
07/06/2011,254380
08/06/2011,253907
09/06/2011,260149
10/06/2011,265412
11/06/2011,272756
12/06/2011,278975
13/06/2011,284874
14/06/2011,296147
15/06/2011,302972
16/06/2011,308029
17/06/2011,313732
18/06/2011,323350
19/06/2011,331902
20/06/2011,342907
21/06/2011,353006
22/06/2011,366173
23/06/2011,376953
24/06/2011,385394
25/06/2011,391073
26/06/2011,394884
27/06/2011,402804
28/06/2011,408691
29/06/2011,415331
30/06/2011,421794
01/07/2011,435412
02/07/2011,455194
03/07/2011,464283
04/07/2011,472218
05/07/2011,477542
06/07/2011,483043
07/07/2011,488858
08/07/2011,498820
09/07/2011,508151
10/07/2011,521576
11/07/2011,530381
12/07/2011,539418
13/07/2011,551351
14/07/2011,565514
15/07/2011,576358
16/07/2011,586079
17/07/2011,595957
18/07/2011,599912
19/07/2011,606297
20/07/2011,615569
21/07/2011,625251
22/07/2011,633235
23/07/2011,641553
24/07/2011,650107
25/07/2011,658480
26/07/2011,665612
27/07/2011,674522
28/07/2011,684346
29/07/2011,694751
30/07/2011,703827
31/07/2011,714505
01/08/2011,722183
02/08/2011,726997
03/08/2011,728926
04/08/2011,732684
05/08/2011,740814
06/08/2011,746487
07/08/2011,754702
08/08/2011,759423
09/08/2011,765486
10/08/2011,770883
11/08/2011,775477
12/08/2011,778471
13/08/2011,783548
14/08/2011,791163
15/08/2011,793290
16/08/2011,797866
17/08/2011,801848
18/08/2011,809957
19/08/2011,816459
20/08/2011,825310
21/08/2011,834339
22/08/2011,844966
23/08/2011,853917
24/08/2011,862231
25/08/2011,871232
26/08/2011,876244
27/08/2011,882116
28/08/2011,889958
29/08/2011,894647
30/08/2011,898516
31/08/2011,902778
01/09/2011,905964
02/09/2011,909236
03/09/2011,912665
04/09/2011,988007
05/09/2011,992687
06/09/2011,994986
07/09/2011,998189
08/09/2011,1001305
09/09/2011,1000742
10/09/2011,1002844
11/09/2011,1004293
12/09/2011,1006046
13/09/2011,1008859
14/09/2011,1011949
15/09/2011,1014296
16/09/2011,1016559
17/09/2011,1018849
18/09/2011,1023016
19/09/2011,1024859
20/09/2011,1029711
21/09/2011,1029379
22/09/2011,1035369
23/09/2011,1044712
24/09/2011,1052751
25/09/2011,1061781
26/09/2011,1069336
27/09/2011,1076373
28/09/2011,1080087
29/09/2011,1082970
30/09/2011,1085279
01/10/2011,1087309
02/10/2011,1089720
03/10/2011,1092606
04/10/2011,1094114
05/10/2011,1096796
06/10/2011,1098685
07/10/2011,1101332
08/10/2011,1103812
09/10/2011,1105898
10/10/2011,1108692
11/10/2011,1110189
12/10/2011,1112230
13/10/2011,1113943
14/10/2011,1115478
15/10/2011,1118106
16/10/2011,1119853
17/10/2011,1121178
18/10/2011,1123427
19/10/2011,1125536
20/10/2011,1128032
21/10/2011,1131203
22/10/2011,1133344
23/10/2011,1135824
24/10/2011,1138803
25/10/2011,1142286
26/10/2011,1144448
27/10/2011,1146700
28/10/2011,1147918
29/10/2011,1149516
30/10/2011,1151218
31/10/2011,1153844
01/11/2011,1155800
02/11/2011,1157934
03/11/2011,1159810
04/11/2011,1162027
05/11/2011,1163887
06/11/2011,1167334
07/11/2011,1168807
08/11/2011,1170813
09/11/2011,1173038
10/11/2011,1175723
11/11/2011,1177038
12/11/2011,1179318
13/11/2011,1182488
14/11/2011,1184279
15/11/2011,1186893
16/11/2011,1188443
17/11/2011,1189688
18/11/2011,1192092
19/11/2011,1194323
20/11/2011,1195325
21/11/2011,1197783
22/11/2011,1199933
23/11/2011,1201826
24/11/2011,1203001
25/11/2011,1205501
26/11/2011,1207023
27/11/2011,1209442
28/11/2011,1211180
29/11/2011,1211624
30/11/2011,1211142
01/12/2011,1213034
02/12/2011,1215323
03/12/2011,1217197
04/12/2011,1219534
05/12/2011,1222592
06/12/2011,1225355
07/12/2011,1226581
08/12/2011,1227562
09/12/2011,1229806
10/12/2011,1232756
11/12/2011,1232659
12/12/2011,1233310
13/12/2011,1235513
14/12/2011,1238173
15/12/2011,1240410
16/12/2011,1240827
17/12/2011,1242200
18/12/2011,1244777
19/12/2011,1245978
20/12/2011,1244181
21/12/2011,1246021
22/12/2011,1248763
23/12/2011,1251456
24/12/2011,1253669
25/12/2011,1256433
26/12/2011,1258991
27/12/2011,1260416
28/12/2011,1262164
29/12/2011,1264129
30/12/2011,1266336
31/12/2011,1266390
01/01/2012,1266472
02/01/2012,1265325
03/01/2012,1265573
04/01/2012,1265091
05/01/2012,1263982
06/01/2012,1261727
07/01/2012,1261110
08/01/2012,1262195
09/01/2012,1261096
10/01/2012,1257029
11/01/2012,1253919
12/01/2012,1255067
13/01/2012,1257431
14/01/2012,1260436
15/01/2012,1261565
16/01/2012,1263351
17/01/2012,1265345
18/01/2012,1266596
19/01/2012,1268709
20/01/2012,1270917
21/01/2012,1272094
22/01/2012,1275169
23/01/2012,1279099
24/01/2012,1280671
25/01/2012,1282365
26/01/2012,1284094
27/01/2012,1285351
28/01/2012,1287853
29/01/2012,1289910
30/01/2012,1293099
31/01/2012,1294560
01/02/2012,1297656
02/02/2012,1299862
03/02/2012,1302896
04/02/2012,1304655
05/02/2012,1307406
06/02/2012,1309388
07/02/2012,1311958
08/02/2012,1315910
09/02/2012,1318616
10/02/2012,1320261
11/02/2012,1322126
12/02/2012,1326299
13/02/2012,1329683
14/02/2012,1331718
15/02/2012,1335296
16/02/2012,1336749
17/02/2012,1338952
18/02/2012,1343237
19/02/2012,1347265
20/02/2012,1350738
21/02/2012,1352356
22/02/2012,1355967
23/02/2012,1358645
24/02/2012,1361306
25/02/2012,1364258
26/02/2012,1366725
27/02/2012,1369750
28/02/2012,1373291
29/02/2012,1377163
01/03/2012,1377471
02/03/2012,1379418
03/03/2012,1382698
04/03/2012,1387510
05/03/2012,1390041
06/03/2012,1391855
07/03/2012,1396111
08/03/2012,1400095
09/03/2012,1403649
10/03/2012,1403907
11/03/2012,1406271
12/03/2012,1410213
13/03/2012,1410063
14/03/2012,1410735
15/03/2012,1412550
16/03/2012,1416349
17/03/2012,1420041
18/03/2012,1423664
19/03/2012,1425728
20/03/2012,1428117
21/03/2012,1432201
22/03/2012,1435812
23/03/2012,1438806
24/03/2012,1443250
25/03/2012,1445504
26/03/2012,1447319
27/03/2012,1450933
28/03/2012,1454434
29/03/2012,1457439
